YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
2007,NV,"Electric Generators, Electric Utilities",Coal,"7,090,911",,,,,,
2007,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,003,191",,,,,,
2007,NV,"Electric Generators, Electric Utilities",Natural Gas,"13,271,440",,,,,,
2007,NV,"Electric Generators, Electric Utilities",Petroleum,"11,447",,,,,,
2007,NV,"Combined Heat and Power, Industrial Power",Total,"412,459",,,,,,
2007,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"412,459",,,,,,
2007,NV,"Combined Heat and Power, Electric Power",Total,"2,256,640",,,,,,
2007,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,252,381",,,,,,
2007,NV,"Combined Heat and Power, Electric Power",Other Gases,"4,256",,,,,,
2007,NV,"Combined Heat and Power, Electric Power",Petroleum,3,,,,,,
2008,NV,Total Electric Power Industry,Total,"35,089,974",,,,,,
2008,NV,Total Electric Power Industry,Coal,"7,812,352",,,,,,
2008,NV,Total Electric Power Industry,Geothermal,"1,382,820",,,,,,
2008,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,750,620",,,,,,
2008,NV,Total Electric Power Industry,Natural Gas,"23,971,911",,,,,,
2008,NV,Total Electric Power Industry,Other Gases,"1,987",,,,,,
2008,NV,Total Electric Power Industry,Petroleum,"14,270",,,,,,
2008,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"156,013",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Total,"9,872,122",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Coal,"927,832",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,382,820",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"8,131",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Natural Gas,"7,393,276",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Petroleum,"4,051",,,,,,
2008,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"156,013",,,,,,
2008,NV,"Electric Generators, Electric Utilities",Total,"22,979,409",,,,,,
2008,NV,"Electric Generators, Electric Utilities",Coal,"6,884,521",,,,,,
2008,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,742,489",,,,,,
2008,NV,"Electric Generators, Electric Utilities",Natural Gas,"14,342,535",,,,,,
2008,NV,"Electric Generators, Electric Utilities",Petroleum,"9,865",,,,,,
2008,NV,"Combined Heat and Power, Industrial Power",Total,"338,507",,,,,,
2008,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"338,507",,,,,,
2008,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,0,,,,,,
2008,NV,"Combined Heat and Power, Electric Power",Total,"1,899,936",,,,,,
2008,NV,"Combined Heat and Power, Electric Power",Natural Gas,"1,897,594",,,,,,
2008,NV,"Combined Heat and Power, Electric Power",Other Gases,"1,987",,,,,,
2008,NV,"Combined Heat and Power, Electric Power",Petroleum,355,,,,,,
2009,NV,Total Electric Power Industry,Total,"37,705,133",,,,,,
2009,NV,Total Electric Power Industry,Coal,"7,539,936",,,,,,
2009,NV,Total Electric Power Industry,Geothermal,"1,633,213",,,,,,
2009,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,460,595",,,,,,
2009,NV,Total Electric Power Industry,Natural Gas,"25,877,621",,,,,,
2009,NV,Total Electric Power Industry,Other Gases,"2,385",,,,,,
2009,NV,Total Electric Power Industry,Petroleum,"16,184",,,,,,
2009,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"174,309",,,,,,
2009,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,890,,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Total,"9,392,644",,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Coal,"1,163,050",,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,633,213",,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"35,007",,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Natural Gas,"6,380,158",,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Petroleum,"6,907",,,,,,
2009,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"174,309",,,,,,
2009,NV,"Electric Generators, Electric Utilities",Total,"26,095,005",,,,,,
2009,NV,"Electric Generators, Electric Utilities",Coal,"6,376,887",,,,,,
2009,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,425,588",,,,,,
2009,NV,"Electric Generators, Electric Utilities",Natural Gas,"17,283,168",,,,,,
2009,NV,"Electric Generators, Electric Utilities",Petroleum,"8,472",,,,,,
2009,NV,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,890,,,,,,
2009,NV,"Combined Heat and Power, Industrial Power",Total,"204,781",,,,,,
2009,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"204,781",,,,,,
2009,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,0,,,,,,
2009,NV,"Combined Heat and Power, Electric Power",Total,"2,012,703",,,,,,
2009,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,009,514",,,,,,
2009,NV,"Combined Heat and Power, Electric Power",Other Gases,"2,385",,,,,,
2009,NV,"Combined Heat and Power, Electric Power",Petroleum,804,,,,,,
2009,NV,"Combined Heat and Power, Commercial Power",Total,0,,,,,,
2009,NV,"Combined Heat and Power, Commercial Power",Natural Gas,0,,,,,,
2010,NV,Total Electric Power Industry,Total,"35,146,248",,,,,,
2010,NV,Total Electric Power Industry,Coal,"6,997,302",,,,,,
2010,NV,Total Electric Power Industry,Geothermal,"2,069,730",,,,,,
2010,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,157,296",,,,,,
2010,NV,Total Electric Power Industry,Natural Gas,"23,688,192",,,,,,
2010,NV,Total Electric Power Industry,Other,0,,,,,,
2010,NV,Total Electric Power Industry,Other Gases,"5,652",,,,,,
2010,NV,Total Electric Power Industry,Petroleum,"11,158",,,,,,
2010,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"216,917",,,,,,
2010,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,0,,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Total,"9,015,287",,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Coal,"1,412,933",,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Geothermal,"2,069,730",,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"39,550",,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Natural Gas,"5,274,379",,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Petroleum,"3,472",,,,,,
2010,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"215,223",,,,,,
2010,NV,"Electric Generators, Electric Utilities",Total,"23,710,917",,,,,,
2010,NV,"Electric Generators, Electric Utilities",Coal,"5,584,370",,,,,,
2010,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,117,746",,,,,,
2010,NV,"Electric Generators, Electric Utilities",Natural Gas,"16,001,126",,,,,,
2010,NV,"Electric Generators, Electric Utilities",Other,0,,,,,,
2010,NV,"Electric Generators, Electric Utilities",Petroleum,"7,675",,,,,,
2010,NV,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0,,,,,,
2010,NV,"Combined Heat and Power, Industrial Power",Total,"200,879",,,,,,
2010,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"199,185",,,,,,
2010,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"1,694",,,,,,
2010,NV,"Combined Heat and Power, Electric Power",Total,"2,156,977",,,,,,
2010,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,151,314",,,,,,
2010,NV,"Combined Heat and Power, Electric Power",Other Gases,"5,652",,,,,,
2010,NV,"Combined Heat and Power, Electric Power",Petroleum,11,,,,,,
2010,NV,"Combined Heat and Power, Commercial Power",Total,"62,188",,,,,,
2010,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"62,188",,,,,,
2011,NV,Total Electric Power Industry,Total,"31,935,918",,,,,,
2011,NV,Total Electric Power Industry,Coal,"5,407,304",,,,,,
2011,NV,Total Electric Power Industry,Geothermal,"2,146,119",,,,,,
2011,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,190,583",,,,,,
2011,NV,Total Electric Power Industry,Natural Gas,"21,841,397",,,,,,
2011,NV,Total Electric Power Industry,Other,"37,817",,,,,,
2011,NV,Total Electric Power Industry,Other Gases,"7,261",,,,,,
2011,NV,Total Electric Power Industry,Petroleum,"14,213",,,,,,
2011,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"291,225",,,,,,
2011,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,0,,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Total,"7,834,824",,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Coal,"1,314,742",,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Geothermal,"2,146,119",,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"46,492",,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Natural Gas,"4,065,253",,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Petroleum,"4,365",,,,,,
2011,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"257,853",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Total,"21,672,875",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Coal,"4,092,563",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,144,091",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Natural Gas,"15,388,561",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Other,"37,817",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Petroleum,"9,843",,,,,,
2011,NV,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0,,,,,,
2011,NV,"Combined Heat and Power, Industrial Power",Total,"168,989",,,,,,
2011,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"167,742",,,,,,
2011,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"1,247",,,,,,
2011,NV,"Combined Heat and Power, Electric Power",Total,"2,167,210",,,,,,
2011,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,159,945",,,,,,
2011,NV,"Combined Heat and Power, Electric Power",Other Gases,"7,261",,,,,,
2011,NV,"Combined Heat and Power, Electric Power",Petroleum,4,,,,,,
2011,NV,"Combined Heat and Power, Commercial Power",Total,"92,020",,,,,,
2011,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"59,896",,,,,,
2011,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"32,125",,,,,,
2012,NV,Total Electric Power Industry,Total,"35,173,263",,,,,,
2012,NV,Total Electric Power Industry,Coal,"4,079,432",,,,,,
2012,NV,Total Electric Power Industry,Geothermal,"2,347,465",,,,,,
2012,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,440,415",,,,,,
2012,NV,Total Electric Power Industry,Natural Gas,"25,646,658",,,,,,
2012,NV,Total Electric Power Industry,Other Gases,"7,324",,,,,,
2012,NV,Total Electric Power Industry,Other,"11,929",,,,,,
2012,NV,Total Electric Power Industry,Petroleum,"18,875",,,,,,
2012,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"473,417",,,,,,
2012,NV,Total Electric Power Industry,Other Biomass,"18,961",,,,,,
2012,NV,Total Electric Power Industry,Wind,"128,788",,,,,,
2012,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,0,,,,,,
2012,NV,"Combined Heat and Power, Industrial Power",Total,"264,369",,,,,,
2012,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"261,599",,,,,,
2012,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,770",,,,,,
2012,NV,"Combined Heat and Power, Commercial Power",Total,"92,289",,,,,,
2012,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"60,130",,,,,,
2012,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"32,159",,,,,,
2012,NV,"Combined Heat and Power, Electric Power",Total,"2,147,174",,,,,,
2012,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,139,845",,,,,,
2012,NV,"Combined Heat and Power, Electric Power",Other Gases,"7,324",,,,,,
2012,NV,"Combined Heat and Power, Electric Power",Petroleum,5,,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Total,"8,483,394",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Coal,"1,115,054",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Geothermal,"2,347,465",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"41,699",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Natural Gas,"4,387,275",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Petroleum,"5,665",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"438,488",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Other Biomass,"18,961",,,,,,
2012,NV,"Electric Generators, Independent Power Producers",Wind,"128,788",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Total,"24,186,037",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Coal,"2,964,377",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,398,716",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Natural Gas,"18,797,809",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Other,"11,929",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Petroleum,"13,205",,,,,,
2012,NV,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0,,,,,,
2013,NV,Total Electric Power Industry,Total,"36,443,874",,,,,,
2013,NV,Total Electric Power Industry,Coal,"5,254,553",,,,,,
2013,NV,Total Electric Power Industry,Geothermal,"2,669,953",,,,,,
2013,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,681,943",,,,,,
2013,NV,Total Electric Power Industry,Natural Gas,"24,766,633",,,,,,
2013,NV,Total Electric Power Industry,Other,"25,389",,,,,,
2013,NV,Total Electric Power Industry,Other Biomass,"24,277",,,,,,
2013,NV,Total Electric Power Industry,Other Gases,"6,304",,,,,,
2013,NV,Total Electric Power Industry,Petroleum,"18,890",,,,,,
2013,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"745,382",,,,,,
2013,NV,Total Electric Power Industry,Wind,"250,549",,,,,,
2013,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,0,,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Total,"6,052,984",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Coal,"1,391,279",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Geothermal,"2,669,953",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"53,710",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Natural Gas,"948,458",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Other Biomass,"24,277",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Petroleum,"3,781",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"710,977",,,,,,
2013,NV,"Electric Generators, Independent Power Producers",Wind,"250,549",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Total,"27,888,008",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Coal,"3,863,274",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,628,233",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Natural Gas,"21,356,006",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Other,"25,389",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Petroleum,"15,106",,,,,,
2013,NV,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0,,,,,,
2013,NV,"Combined Heat and Power, Industrial Power",Total,"250,560",,,,,,
2013,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"247,913",,,,,,
2013,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,647",,,,,,
2013,NV,"Combined Heat and Power, Electric Power",Total,"2,153,869",,,,,,
2013,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,147,561",,,,,,
2013,NV,"Combined Heat and Power, Electric Power",Other Gases,"6,304",,,,,,
2013,NV,"Combined Heat and Power, Electric Power",Petroleum,3,,,,,,
2013,NV,"Combined Heat and Power, Commercial Power",Total,"98,453",,,,,,
2013,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"66,695",,,,,,
2013,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"31,758",,,,,,
2014,NV,Total Electric Power Industry,Total,"36,000,537",,,,,,
2014,NV,Total Electric Power Industry,Coal,"6,547,864",,,,,,
2014,NV,Total Electric Power Industry,Geothermal,"2,728,788",,,,,,
2014,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,389,000",,,,,,
2014,NV,Total Electric Power Industry,Natural Gas,"22,961,355",,,,,,
2014,NV,Total Electric Power Industry,Other Gases,"5,151",,,,,,
2014,NV,Total Electric Power Industry,Other,"14,965",,,,,,
2014,NV,Total Electric Power Industry,Petroleum,"15,030",,,,,,
2014,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,013,682",,,,,,
2014,NV,Total Electric Power Industry,Other Biomass,"24,568",,,,,,
2014,NV,Total Electric Power Industry,Wind,"300,134",,,,,,
2014,NV,Total Electric Power Industry,Wood and Wood Derived Fuels,0,,,,,,
2014,NV,"Combined Heat and Power, Industrial Power",Total,"240,964",,,,,,
2014,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"238,404",,,,,,
2014,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,560",,,,,,
2014,NV,"Combined Heat and Power, Commercial Power",Total,"95,465",,,,,,
2014,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"64,263",,,,,,
2014,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"31,202",,,,,,
2014,NV,"Combined Heat and Power, Electric Power",Total,"2,208,897",,,,,,
2014,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,203,693",,,,,,
2014,NV,"Combined Heat and Power, Electric Power",Other Gases,"5,151",,,,,,
2014,NV,"Combined Heat and Power, Electric Power",Petroleum,53,,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Total,"5,696,483",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Coal,"1,422,040",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Geothermal,"2,728,788",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"36,692",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Natural Gas,"202,095",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Petroleum,"2,246",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"979,920",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Other Biomass,"24,568",,,,,,
2014,NV,"Electric Generators, Independent Power Producers",Wind,"300,134",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Total,"27,758,728",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Coal,"5,125,823",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,352,308",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Natural Gas,"20,252,900",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Other,"14,965",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Petroleum,"12,732",,,,,,
2014,NV,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0,,,,,,
2015,NV,Total Electric Power Industry,Total,"39,046,784",,,,,,
2015,NV,Total Electric Power Industry,Coal,"2,657,289",,,,,,
2015,NV,Total Electric Power Industry,Geothermal,"3,110,504",,,,,,
2015,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,264,136",,,,,,
2015,NV,Total Electric Power Industry,Natural Gas,"28,999,514",,,,,,
2015,NV,Total Electric Power Industry,Other Gases,"5,523",,,,,,
2015,NV,Total Electric Power Industry,Other,"1,013",,,,,,
2015,NV,Total Electric Power Industry,Petroleum,"15,982",,,,,,
2015,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"1,657,405",,,,,,
2015,NV,Total Electric Power Industry,Other Biomass,"25,695",,,,,,
2015,NV,Total Electric Power Industry,Wind,"309,724",,,,,,
2015,NV,"Combined Heat and Power, Industrial Power",Total,"304,750",,,,,,
2015,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"302,249",,,,,,
2015,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,501",,,,,,
2015,NV,"Combined Heat and Power, Commercial Power",Total,"114,061",,,,,,
2015,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"69,233",,,,,,
2015,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"44,828",,,,,,
2015,NV,"Combined Heat and Power, Electric Power",Total,"2,203,014",,,,,,
2015,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,197,475",,,,,,
2015,NV,"Combined Heat and Power, Electric Power",Other Gases,"5,523",,,,,,
2015,NV,"Combined Heat and Power, Electric Power",Petroleum,16,,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Total,"5,928,306",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Coal,"853,306",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,110,504",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"15,487",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,140",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Petroleum,"3,450",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"1,608,000",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Other Biomass,"25,695",,,,,,
2015,NV,"Electric Generators, Independent Power Producers",Wind,"309,724",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Total,"30,496,653",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Coal,"1,803,983",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,248,649",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Natural Gas,"26,428,416",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Other,"1,013",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Petroleum,"12,516",,,,,,
2015,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"2,076",,,,,,
2016,NV,Total Electric Power Industry,Total,"39,787,005",,,,,,
2016,NV,Total Electric Power Industry,Coal,"2,166,831",,,,,,
2016,NV,Total Electric Power Industry,Geothermal,"3,353,399",,,,,,
2016,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,789,219",,,,,,
2016,NV,Total Electric Power Industry,Natural Gas,"28,921,612",,,,,,
2016,NV,Total Electric Power Industry,Other Gases,742,,,,,,
2016,NV,Total Electric Power Industry,Other,"21,028",,,,,,
2016,NV,Total Electric Power Industry,Petroleum,"10,985",,,,,,
2016,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"3,124,060",,,,,,
2016,NV,Total Electric Power Industry,Other Biomass,"55,264",,,,,,
2016,NV,Total Electric Power Industry,Wind,"343,865",,,,,,
2016,NV,"Combined Heat and Power, Industrial Power",Total,"280,397",,,,,,
2016,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"277,851",,,,,,
2016,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,546",,,,,,
2016,NV,"Combined Heat and Power, Commercial Power",Total,"126,141",,,,,,
2016,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"65,397",,,,,,
2016,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"60,744",,,,,,
2016,NV,"Combined Heat and Power, Electric Power",Total,"2,207,798",,,,,,
2016,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,207,035",,,,,,
2016,NV,"Combined Heat and Power, Electric Power",Other Gases,742,,,,,,
2016,NV,"Combined Heat and Power, Electric Power",Petroleum,20,,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Total,"7,696,288",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Coal,"887,760",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,353,399",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"41,097",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,244",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Petroleum,"2,962",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"3,009,697",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Other Biomass,"55,264",,,,,,
2016,NV,"Electric Generators, Independent Power Producers",Wind,"343,865",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Total,"29,476,381",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Coal,"1,279,071",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,748,122",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Natural Gas,"26,369,084",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Other,"21,028",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Petroleum,"8,003",,,,,,
2016,NV,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"51,073",,,,,,
2017,NV,Total Electric Power Industry,Total,"38,201,294",,,,,,
2017,NV,Total Electric Power Industry,Coal,"1,865,592",,,,,,
2017,NV,Total Electric Power Industry,Geothermal,"3,291,874",,,,,,
2017,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,812,700",,,,,,
2017,NV,Total Electric Power Industry,Natural Gas,"26,625,904",,,,,,
2017,NV,Total Electric Power Industry,Other Gases,0,,,,,,
2017,NV,Total Electric Power Industry,Other,"31,566",,,,,,
2017,NV,Total Electric Power Industry,Petroleum,"8,746",,,,,,
2017,NV,Total Electric Power Industry,Solar Thermal and Photovoltaic,"4,145,867",,,,,,
2017,NV,Total Electric Power Industry,Other Biomass,"57,681",,,,,,
2017,NV,Total Electric Power Industry,Wind,"361,364",,,,,,
2017,NV,"Combined Heat and Power, Industrial Power",Total,"293,789",,,,,,
2017,NV,"Combined Heat and Power, Industrial Power",Natural Gas,"291,274",,,,,,
2017,NV,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"2,515",,,,,,
2017,NV,"Combined Heat and Power, Commercial Power",Total,"126,852",,,,,,
2017,NV,"Combined Heat and Power, Commercial Power",Natural Gas,"60,408",,,,,,
2017,NV,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"66,444",,,,,,
2017,NV,"Combined Heat and Power, Electric Power",Total,"2,153,192",,,,,,
2017,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,153,192",,,,,,
2017,NV,"Combined Heat and Power, Electric Power",Other Gases,0,,,,,,
2017,NV,"Combined Heat and Power, Electric Power",Petroleum,0,,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Total,"8,791,828",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Coal,"964,091",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Geothermal,"3,291,874",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"73,817",,,,,,
2017,NV,"Electric Generators, Independent Power Producers",Natural Gas,"2,578",,,,,,
