Event,minutes,AvgGlobalHoriz
Summer Solstice,960,503.742
Summer Solstice,1065,189.914
Summer Solstice,390,337.46400000000006
Summer Solstice,900,759.1540000000001
Summer Solstice,940,565.8620000000001
Summer Solstice,315,80.74680000000001
Summer Solstice,345,166.77
Summer Solstice,460,601.0580000000001
Summer Solstice,765,978.118
Summer Solstice,1095,67.4876
Summer Solstice,340,149.39600000000002
Summer Solstice,980,474.72200000000004
Summer Solstice,910,703.508
Summer Solstice,590,949.6120000000001
Summer Solstice,375,280.78599999999994
Summer Solstice,955,540.0419999999999
Summer Solstice,890,761.662
Summer Solstice,550,838.26
Summer Solstice,870,825.626
Summer Solstice,500,734.4280000000001
Summer Solstice,300,49.2634
Summer Solstice,775,976.39
Summer Solstice,1020,287.196
Summer Solstice,840,880.068
Summer Solstice,400,369.88800000000003
Summer Solstice,490,690.482
Summer Solstice,700,1039.104
Summer Solstice,1135,-2.7231639999999997
Summer Solstice,1050,232.2
Summer Solstice,470,595.7059999999999
Summer Solstice,925,602.6120000000001
Summer Solstice,410,406.02
Summer Solstice,555,869.8520000000001
Summer Solstice,755,992.0719999999999
Summer Solstice,525,799.108
Summer Solstice,330,145.702
Summer Solstice,415,370.21799999999996
Summer Solstice,670,939.024
Summer Solstice,815,934.392
Summer Solstice,1120,19.521980000000003
Summer Solstice,1000,404.41999999999996
Summer Solstice,795,927.4800000000001
Summer Solstice,800,941.5800000000002
Summer Solstice,830,932.366
Summer Solstice,1040,245.06799999999993
Summer Solstice,310,73.2524
Summer Solstice,820,923.9859999999999
Summer Solstice,1010,344.672
Summer Solstice,625,888.528
Summer Solstice,685,1033.56
Summer Solstice,995,449.10200000000003
Summer Solstice,425,436.534
Summer Solstice,725,1036.1979999999999
Summer Solstice,365,249.906
Summer Solstice,465,586.3019999999999
Summer Solstice,720,1025.692
Summer Solstice,380,292.59399999999994
Summer Solstice,435,510.5280000000001
Summer Solstice,275,3.24632
Summer Solstice,675,998.03
Summer Solstice,1055,231.42
Summer Solstice,710,1039.2
Summer Solstice,740,1024.6399999999999
Summer Solstice,915,640.7880000000001
Summer Solstice,595,937.722
Summer Solstice,965,483.9700000000001
Summer Solstice,665,1010.0519999999999
Summer Solstice,355,213.006
Summer Solstice,825,906.564
Summer Solstice,485,680.024
Summer Solstice,575,923.4680000000001
Summer Solstice,1045,258.948
Summer Solstice,630,1007.9
Summer Solstice,495,691.054
Summer Solstice,950,532.8140000000001
Summer Solstice,480,655.5719999999999
Summer Solstice,845,887.5139999999999
Summer Solstice,270,0.43071400000000004
Summer Solstice,1105,49.41760000000001
Summer Solstice,370,259.192
Summer Solstice,735,1035.6
Summer Solstice,540,838.9300000000001
Summer Solstice,615,932.574
Summer Solstice,475,636.246
Summer Solstice,360,230.43800000000002
Summer Solstice,880,772.3140000000001
Summer Solstice,920,609.6759999999999
Summer Solstice,1100,54.68240000000001
Summer Solstice,1025,283.434
Summer Solstice,650,1009.684
Summer Solstice,580,939.158
Summer Solstice,860,828.6119999999999
Summer Solstice,1110,16.293799999999997
Summer Solstice,730,1038.1
Summer Solstice,585,920.392
Summer Solstice,545,800.646
Summer Solstice,660,1019.2520000000001
Summer Solstice,335,157.372
Summer Solstice,290,27.52074
Summer Solstice,455,587.346
Summer Solstice,695,1034.5539999999999
Summer Solstice,1070,147.64399999999998
Summer Solstice,520,787.598
Summer Solstice,600,945.3679999999998
Summer Solstice,295,38.7618
Summer Solstice,325,121.852
Summer Solstice,770,996.762
Summer Solstice,945,547.716
Summer Solstice,970,496.492
Summer Solstice,865,829.5039999999999
Summer Solstice,1060,212.46000000000004
Summer Solstice,780,951.378
Summer Solstice,1085,93.46340000000001
Summer Solstice,505,733.2860000000001
Summer Solstice,515,770.588
Summer Solstice,1130,0.22135199999999994
Summer Solstice,385,307.904
Summer Solstice,1015,329.308
Summer Solstice,305,36.6622
Autumn Equinox,745,850.792
Autumn Equinox,980,88.8298
Autumn Equinox,710,814.6500000000001
Autumn Equinox,465,395.86800000000005
Autumn Equinox,610,780.756
Autumn Equinox,685,827.816
Autumn Equinox,855,596.6020000000001
Autumn Equinox,885,527.2180000000001
Autumn Equinox,900,441.492
Autumn Equinox,1055,-3.8915333333333333
Autumn Equinox,575,725.664
Autumn Equinox,730,903.3700000000001
Autumn Equinox,1035,19.0995
Autumn Equinox,680,873.8060000000002
Autumn Equinox,920,391.53000000000003
Autumn Equinox,830,666.028
Autumn Equinox,395,175.954
Autumn Equinox,400,199.26799999999997
Autumn Equinox,665,818.568
Autumn Equinox,1040,15.78022
Autumn Equinox,780,826.24
Autumn Equinox,960,108.737
Autumn Equinox,990,72.43879999999999
Autumn Equinox,385,131.7794
Autumn Equinox,450,359.552
Autumn Equinox,765,830.866
Autumn Equinox,865,633.2059999999999
Autumn Equinox,820,716.848
Autumn Equinox,460,402.78
Autumn Equinox,785,826.0799999999999
Autumn Equinox,950,287.48999999999995
Autumn Equinox,775,814.4
Autumn Equinox,1045,1.8918500000000003
Autumn Equinox,750,825.378
Autumn Equinox,735,874.7560000000001
Autumn Equinox,345,17.6408
Autumn Equinox,815,677.226
Autumn Equinox,845,642.61
Autumn Equinox,530,599.24
Autumn Equinox,1050,-1.029772
Autumn Equinox,590,737.51
Autumn Equinox,755,826.7379999999999
Autumn Equinox,640,802.736
Autumn Equinox,615,773.38
Autumn Equinox,1015,23.9906
Autumn Equinox,340,12.809940000000001
Autumn Equinox,350,35.282799999999995
Autumn Equinox,435,297.408
Autumn Equinox,555,662.514
Autumn Equinox,425,261.94
Autumn Equinox,520,595.6980000000001
Autumn Equinox,600,743.7940000000001
